exchange,growth,uptake
EX_arab__L_e,FALSE,10
EX_acgam_e,FALSE,10
EX_glcr_e,FALSE,10
EX_succ_e,TRUE,10
EX_gal_e,FALSE,10
EX_asp_L_e,TRUE,10
EX_pro_L_e,TRUE,10
EX_ala_D_e,FALSE,10
EX_tre_e,FALSE,10
EX_man_e,TRUE,10
EX_galt_e,TRUE,10
EX_ser_D_e,FALSE,10
EX_sbt_D_e,TRUE,10
EX_glyc_e,TRUE,10
EX_fuc_L_e,FALSE,10
EX_glcur_e,TRUE,10
EX_glcn_e,FALSE,10
EX_xyl_D_e,TRUE,10
EX_lac_D_e,TRUE,10
EX_for_e,TRUE,10
EX_mnl_e,TRUE,10
EX_glu_L_e,TRUE,10
EX_rib_D_e,TRUE,10
EX_rmn_e,FALSE,10
EX_fru_e,FALSE,10
EX_glc_aD_e,TRUE,10
EX_malt_e,FALSE,10
EX_melib_e,FALSE,10
EX_thymd_e,TRUE,10
EX_asp_D_e,TRUE,10
EX_gam_e,FALSE,10
EX_akg_e,TRUE,10
EX_2obut_e,TRUE,10
EX_a_gal_D_e,FALSE,10
EX_sucr_e,FALSE,10
EX_uri_e,TRUE,10
EX_gln_L_e,TRUE,10
EX_g1p_e,FALSE,10
EX_f6p_e,FALSE,10
EX_2hbut_e,TRUE,10
EX_mbdg_e,FALSE,10
EX_rbt_e,TRUE,10
EX_malttr_e,FALSE,10
EX_dad_2_e,FALSE,10
EX_adn_e,TRUE,10
EX_gly_asp_L_e,TRUE,10
EX_cit_e,FALSE,10
EX_inost_e,FALSE,10
EX_fum_e,TRUE,10
EX_ppa_e,TRUE,10
EX_galct_D_e,FALSE,10
EX_glyclt_e,FALSE,10
EX_glx_e,TRUE,10
EX_cellb_e,FALSE,10
EX_ins_e,TRUE,10
EX_tcb_e,FALSE,10
EX_ser_L_e,FALSE,10
EX_thr_L_e,FALSE,10
EX_ala_L_e,TRUE,10
EX_alagly_e,TRUE,10
EX_acac_e,TRUE,10
EX_acmana_e,FALSE,10
EX_methsucc_e,TRUE,10
EX_mal_D_e,TRUE,10
EX_mal_L_e,TRUE,10
EX_glypro_e,TRUE,10
EX_4hphac_e,FALSE,10
EX_3hoxpac_e,FALSE,10
EX_tym_e,FALSE,10
EX_lyx_L_e,TRUE,10
EX_pyr_e,TRUE,10
EX_galur_e,TRUE,10
EX_peamn_e,FALSE,10
EX_etha_e,TRUE,10
EX_cs_c_e,FALSE,10
EX_dextrin_A_e,FALSE,10
EX_dextrin_B_e,FALSE,10
EX_dextrin_G_e,FALSE,10
EX_dextrin_e,TRUE,10
EX_glycogen_e,FALSE,10
EX_mannan_e,FALSE,10
EX_pectin_e,TRUE,10
EX_acgal_e,FALSE,10
EX_acnam_e,FALSE,10
EX_arab__D_e,FALSE,10
EX_abt__D_e,TRUE,10
EX_abt__L_e,FALSE,10
EX_arbt_e,FALSE,10
EX_drib_e,TRUE,10
EX_glc__L_e,FALSE,10
EX_madg_e,FALSE,10
EX_mbdg_e,FALSE,10
EX_metglcur_e,FALSE,10
EX_pala_e,FALSE,10
EX_raffin_e,FALSE,10
EX_salcn_e,FALSE,10
EX_srb__L_e,FALSE,10
EX_stys_e,FALSE,10
EX_tag__D_e,FALSE,10
EX_xylt_e,FALSE,10
EX_gg4abut_e,FALSE,10
EX_5aptn_e,FALSE,10
EX_but_e,TRUE,10
EX_dca_e,FALSE,10
EX_caproic_e,FALSE,10
EX_citac_e,FALSE,10
EX_citm_e,FALSE,10
EX_gam_e,TRUE,10
EX_salc_e,FALSE,10
EX_4hbz_e,FALSE,10
EX_glyclt_e,FALSE,10
EX_itacon_e,FALSE,10
EX_5dglcn_e,TRUE,10
EX_malon_e,FALSE,10
EX_oxa_e,FALSE,10
EX_sebacid_e,FALSE,10
EX_tartr__D_e,FALSE,10
EX_tatr__L_e,TRUE,10
EX_ad_e,FALSE,10
EX_alamd_e,TRUE,10
EX_acglu_e,FALSE,10
EX_arg__L_e,FALSE,10
EX_gly_e,FALSE,10
EX_his__L_e,FALSE,10
EX_hom__L_E,FALSE,10
EX_ile__L_e,TRUE,10
EX_Leu__L_e,TRUE,10
EX_lys__L_e,FALSE,10
EX_met__L_e,FALSE,10
EX_orn__L_e,FALSE,10
EX_phe__L_e,FALSE,10
EX_5oxpro_e,TRUE,10
EX_val__L_e,TRUE,10
EX_ptrc_e,FALSE,10
EX_dha_e,TRUE,10
EX_23btdl_e,FALSE,10
EX_actn__R_e,FALSE,10
