medium	description	compound	name
Base	Rhodobacter sphaeroides base medium	arg-L	L_Arginine_e
Base	Rhodobacter sphaeroides base medium	his-L	L_Histidine_e
Base	Rhodobacter sphaeroides base medium	lys-L	L_Lysine_e
Base	Rhodobacter sphaeroides base medium	cys-L	L_Cysteine_e
Base	Rhodobacter sphaeroides base medium	gln-L	L_Glutamine_e
Base	Rhodobacter sphaeroides base medium	leu-L	L_Leucine_e
Base	Rhodobacter sphaeroides base medium	ile-L	L_Isoleucine_e
Base	Rhodobacter sphaeroides base medium	val-L	L_Valine_e
Base	Rhodobacter sphaeroides base medium	met-L	L_Methionine_e
Base	Rhodobacter sphaeroides base medium	alaala	Ala_Ala_e
Base	Rhodobacter sphaeroides base medium	gthrd	GSH_e
Base	Rhodobacter sphaeroides base medium	gthox	Oxidized_glutathione_e
Base	Rhodobacter sphaeroides base medium	adocbl	Calomide_e
Base	Rhodobacter sphaeroides base medium	cu2	Cu2_e
Base	Rhodobacter sphaeroides base medium	zn2	Zn2_e
Base	Rhodobacter sphaeroides base medium	mn2	Mn2_e
Base	Rhodobacter sphaeroides base medium	fe2	Fe2_e
Base	Rhodobacter sphaeroides base medium	cobalt2	Co2_e
Base	Rhodobacter sphaeroides base medium	pheme	Heme_e
Base	Rhodobacter sphaeroides base medium	tsul	H2S2O3_e
Base	Rhodobacter sphaeroides base medium	so4	Sulfate_e
Base	Rhodobacter sphaeroides base medium	mobd	Molybdate_e
Base	Rhodobacter sphaeroides base medium	ptrc	Putrescine_e
Base	Rhodobacter sphaeroides base medium	spmd	Spermidine_e
Base	Rhodobacter sphaeroides base medium	glyb	BET_e
Base	Rhodobacter sphaeroides base medium	pro-L	L_Proline_e
Base	Rhodobacter sphaeroides base medium	chol	Choline_e
Base	Rhodobacter sphaeroides base medium	malt	Maltose_e
Base	Rhodobacter sphaeroides base medium	sbt-D	Sorbitol_e
Base	Rhodobacter sphaeroides base medium	mnl	D_Mannitol_e
Base	Rhodobacter sphaeroides base medium	glyc	Glycerol_e
Base	Rhodobacter sphaeroides base medium	rib-D	D_Ribose_e
Base	Rhodobacter sphaeroides base medium	xyl-D	Xylose_e
Base	Rhodobacter sphaeroides base medium	fru	D_Fructose_e
Base	Rhodobacter sphaeroides base medium	pi	Phosphate_e
Base	Rhodobacter sphaeroides base medium	glu-L	L_Glutamate_e
Base	Rhodobacter sphaeroides base medium	asp-L	L_Aspartate_e
Base	Rhodobacter sphaeroides base medium	asn-L	L_Asparagine_e
Base	Rhodobacter sphaeroides base medium	h2o	H2O_e
Base	Rhodobacter sphaeroides base medium	nh4	NH3_e
Base	Rhodobacter sphaeroides base medium	na1	Na_e
Base	Rhodobacter sphaeroides base medium	ca2	Ca2_e
Base	Rhodobacter sphaeroides base medium	co2	CO2_e
Base	Rhodobacter sphaeroides base medium	o2	O2_e
Base	Rhodobacter sphaeroides base medium	succ	Succinate_e
Base	Rhodobacter sphaeroides base medium	mal-L	L_Malate_e
Base	Rhodobacter sphaeroides base medium	fum	Fumarate_e
Base	Rhodobacter sphaeroides base medium	pyr	Pyruvate_e
Base	Rhodobacter sphaeroides base medium	2obut	2_Oxobutyrate_e
Base	Rhodobacter sphaeroides base medium	2-Oxovalerate	2_Oxovalerate_e
Base	Rhodobacter sphaeroides base medium	3ump	3_UMP_e
